Region,Average Price (Rp),Std Dev (Rp),Min Price (Rp),Max Price (Rp),Coeff of Var (%),Valid Days,Stability Status
Jawa Barat,69356.72,22213.36,38400,121850,32.03,402,High Volatility (Unstable)
Semua Provinsi,67977.11,14485.59,40150,104100,21.31,402,High Volatility (Unstable)
