Region,Average Price (Rp),Std Dev (Rp),Min Price (Rp),Max Price (Rp),Coeff of Var (%),Valid Days,Stability Status
Jawa Tengah,15434.58,248.71,15000,15850,1.61,402,Very Stable
Semua Provinsi,15816.79,321.74,15100,16400,2.03,402,Very Stable
