Region,Average Price (Rp),Std Dev (Rp),Min Price (Rp),Max Price (Rp),Coeff of Var (%),Valid Days,Stability Status
Jawa Barat,15134.45,145.64,14850,15450,0.96,402,Very Stable
Semua Provinsi,15816.79,321.74,15100,16400,2.03,402,Very Stable
